   t     nR      nF
36.400000  0.723367  0.876396
36.450000  0.727837  0.869123
36.500000  0.732892  0.862203
36.550000  0.737942  0.855294
36.600000  0.743571  0.848755
36.650000  0.749194  0.842226
36.700000  0.755391  0.836081
36.750000  0.761582  0.829946
36.800000  0.768342  0.824209
36.850000  0.775096  0.818481
36.900000  0.782412  0.813164
36.950000  0.789721  0.807856
37.000000  0.797586  0.802971
37.050000  0.805443  0.798095
37.100000  0.813848  0.793655
37.150000  0.822245  0.789223
37.200000  0.831179  0.785237
37.250000  0.840104  0.781261
37.300000  0.849555  0.777742
37.350000  0.858996  0.774232
37.400000  0.868949  0.771192
37.450000  0.878890  0.768160
37.500000  0.889325  0.765610
37.550000  0.899747  0.763068
37.600000  0.910643  0.761020
37.650000  0.921524  0.758980
37.700000  0.932853  0.757446
37.750000  0.944167  0.755921
37.800000  0.955899  0.754914
37.850000  0.967613  0.753915
37.900000  0.979710  0.753449
37.950000  0.991788  0.752990
38.000000  1.004208  0.753078
38.050000  1.016606  0.753173
38.100000  1.029301  0.753829
38.150000  1.041970  0.754491
38.200000  1.054882  0.755728
38.250000  1.067766  0.756973
38.300000  1.080832  0.758806
38.350000  1.093866  0.760646
38.400000  1.107014  0.763090
38.450000  1.120127  0.765540
38.500000  1.133276  0.768608
38.550000  1.146388  0.771681
38.600000  1.159450  0.775386
38.650000  1.172472  0.779095
38.700000  1.185351  0.783448
38.750000  1.198185  0.787805
38.800000  1.210776  0.792816
38.850000  1.223319  0.797829
38.900000  1.235508  0.803506
38.950000  1.247646  0.809183
39.000000  1.259315  0.815530
39.050000  1.270930  0.821874
39.100000  1.281954  0.828890
39.150000  1.292921  0.835901
39.200000  1.303170  0.843581
39.250000  1.313362  0.851254
39.300000  1.322706  0.859586
39.350000  1.331992  0.867908
39.400000  1.340301  0.876875
39.450000  1.348552  0.885827
39.500000  1.355697  0.895400
39.550000  1.362788  0.904955
39.600000  1.368650  0.915098
39.650000  1.374460  0.925219
39.700000  1.378929  0.935886
39.750000  1.383349  0.946525
39.800000  1.386326  0.957657
39.850000  1.389261  0.968756
39.900000  1.390667  0.980283
39.950000  1.392038  0.991772
40.000000  1.391812  1.003611
40.050000  1.391561  1.015408
40.100000  1.389668  1.027467
40.150000  1.387759  1.039478
40.200000  1.384189  1.051651
40.250000  1.380615  1.063772
40.300000  1.375385  1.075944
40.350000  1.370162  1.088061
40.400000  1.363319  1.100110
40.450000  1.356495  1.112101
40.500000  1.348113  1.123897
40.550000  1.339761  1.135635
40.600000  1.329941  1.147048
40.650000  1.320163  1.158402
40.700000  1.309029  1.169301
40.750000  1.297948  1.180141
40.800000  1.285648  1.190398
40.850000  1.273409  1.200599
40.900000  1.260103  1.210093
40.950000  1.246866  1.219536
41.000000  1.232730  1.228157
41.050000  1.218667  1.236732
41.100000  1.203881  1.244383
41.150000  1.189170  1.251994
41.200000  1.173914  1.258593
41.250000  1.158736  1.265160
41.300000  1.143189  1.270643
41.350000  1.127719  1.276101
41.400000  1.112053  1.280422
41.450000  1.096461  1.284726
41.500000  1.080834  1.287857
41.550000  1.065277  1.290980
41.600000  1.049836  1.292914
41.650000  1.034461  1.294847
41.700000  1.019335  1.295591
41.750000  1.004270  1.296342
41.800000  0.989575  1.295923
41.850000  0.974933  1.295518
41.900000  0.960764  1.293975
41.950000  0.946642  1.292451
42.000000  0.933079  1.289837
42.050000  0.919557  1.287247
42.100000  0.906665  1.283624
42.150000  0.893807  1.280030
42.200000  0.881636  1.275468
42.250000  0.869493  1.270939
42.300000  0.858078  1.265516
42.350000  0.846686  1.260128
42.400000  0.836053  1.253924
42.450000  0.825438  1.247757
42.500000  0.815602  1.240856
42.550000  0.805780  1.233991
42.600000  0.796748  1.226476
42.650000  0.787726  1.218997
42.700000  0.779497  1.210950
42.750000  0.771275  1.202939
42.800000  0.763845  1.194441
42.850000  0.756418  1.185979
42.900000  0.749777  1.177108
42.950000  0.743137  1.168272
43.000000  0.737272  1.159103
43.050000  0.731407  1.149967
43.100000  0.726303  1.140571
43.150000  0.721198  1.131206
43.200000  0.716841  1.121648
43.250000  0.712480  1.112120
43.300000  0.708852  1.102463
43.350000  0.705221  1.092833
43.400000  0.702305  1.083134
43.450000  0.699386  1.073461
43.500000  0.697168  1.063772
43.550000  0.694945  1.054108
43.600000  0.693408  1.044478
43.650000  0.691865  1.034872
43.700000  0.690995  1.025346
43.750000  0.690119  1.015841
43.800000  0.689902  1.006458
43.850000  0.689679  0.997095
43.900000  0.690102  0.987893
43.950000  0.690520  0.978709
44.000000  0.691572  0.969720
44.050000  0.692619  0.960747
44.100000  0.694291  0.952001
44.150000  0.695957  0.943270
44.200000  0.698239  0.934793
44.250000  0.700516  0.926331
44.300000  0.703400  0.918148
44.350000  0.706279  0.909978
44.400000  0.709758  0.902111
44.450000  0.713232  0.894256
44.500000  0.717300  0.886724
44.550000  0.721363  0.879204
44.600000  0.726014  0.872026
44.650000  0.730659  0.864858
44.700000  0.735888  0.858049
44.750000  0.741111  0.851250
44.800000  0.746912  0.844826
44.850000  0.752707  0.838412
44.900000  0.759075  0.832386
44.950000  0.765436  0.826370
45.000000  0.772365  0.820756
45.050000  0.779287  0.815151
45.100000  0.786770  0.809961
45.150000  0.794246  0.804780
45.200000  0.802275  0.800026
45.250000  0.810297  0.795281
45.300000  0.818864  0.790974
45.350000  0.827422  0.786676
45.400000  0.836515  0.782828
45.450000  0.845598  0.778989
45.500000  0.855203  0.775612
45.550000  0.864798  0.772242
45.600000  0.874900  0.769347
45.650000  0.884990  0.766460
45.700000  0.895568  0.764058
45.750000  0.906133  0.761664
45.800000  0.917164  0.759768
45.850000  0.928181  0.757880
45.900000  0.939637  0.756503
45.950000  0.951077  0.755133
46.000000  0.962926  0.754286
46.050000  0.974756  0.753447
46.100000  0.986959  0.753145
46.150000  0.999141  0.752850
46.200000  1.011653  0.753106
46.250000  1.024141  0.753369
46.300000  1.036911  0.754197
46.350000  1.049655  0.755032
46.400000  1.062624  0.756447
46.450000  1.075565  0.757868
