     t       numeric x    exact x     numeric v     exact v  
0.17250000  1.71645829  1.71645780  9.85158850  9.85158732
0.17300000  1.72138366  1.72138338  9.85072781  9.85072785
0.17350000  1.72630902  1.72630852  9.84986711  9.84986593
0.17400000  1.73123353  1.73123324  9.84900150  9.84900155
0.17450000  1.73615803  1.73615753  9.84813588  9.84813470
0.17500000  1.74108166  1.74108138  9.84726534  9.84726539
0.17550000  1.74600530  1.74600479  9.84639480  9.84639362
0.17600000  1.75092806  1.75092777  9.84551933  9.84551938
0.17650000  1.75585082  1.75585031  9.84464387  9.84464269
0.17700000  1.76077270  1.76077241  9.84376348  9.84376353
0.17750000  1.76569458  1.76569407  9.84288310  9.84288192
0.17800000  1.77061558  1.77061529  9.84199779  9.84199784
0.17850000  1.77553658  1.77553607  9.84111248  9.84111130
0.17900000  1.78045670  1.78045640  9.84022225  9.84022230
0.17950000  1.78537681  1.78537629  9.83933202  9.83933085
0.18000000  1.79029603  1.79029573  9.83843687  9.83843693
0.18050000  1.79521525  1.79521473  9.83754173  9.83754055
0.18100000  1.80013357  1.80013327  9.83664166  9.83664171
0.18150000  1.80505189  1.80505137  9.83574159  9.83574042
0.18200000  1.80996931  1.80996901  9.83483661  9.83483666
0.18250000  1.81488673  1.81488621  9.83393162  9.83393045
0.18300000  1.81980324  1.81980294  9.83302172  9.83302178
0.18350000  1.82471976  1.82471923  9.83211182  9.83211065
0.18400000  1.82963536  1.82963505  9.83119700  9.83119706
0.18450000  1.83455095  1.83455042  9.83028218  9.83028101
0.18500000  1.83946564  1.83946534  9.82936245  9.82936251
0.18550000  1.84438032  1.84437979  9.82844272  9.82844155
0.18600000  1.84929408  1.84929378  9.82751807  9.82751813
0.18650000  1.85420784  1.85420730  9.82659342  9.82659225
0.18700000  1.85912067  1.85912037  9.82566386  9.82566392
0.18750000  1.86403351  1.86403297  9.82473430  9.82473313
0.18800000  1.86894541  1.86894510  9.82379983  9.82379989
0.18850000  1.87385731  1.87385677  9.82286536  9.82286419
0.18900000  1.87876827  1.87876796  9.82192597  9.82192603
0.18950000  1.88367924  1.88367869  9.82098659  9.82098542
0.19000000  1.88858926  1.88858895  9.82004229  9.82004235
0.19050000  1.89349928  1.89349873  9.81909800  9.81909683
0.19100000  1.89840836  1.89840805  9.81814879  9.81814885
0.19150000  1.90331743  1.90331688  9.81719959  9.81719842
0.19200000  1.90822556  1.90822524  9.81624547  9.81624554
0.19250000  1.91313368  1.91313313  9.81529136  9.81529020
0.19300000  1.91804085  1.91804053  9.81433234  9.81433240
0.19350000  1.92294802  1.92294746  9.81337332  9.81337216
0.19400000  1.92785422  1.92785391  9.81240939  9.81240946
0.19450000  1.93276043  1.93275987  9.81144547  9.81144430
0.19500000  1.93766567  1.93766535  9.81047663  9.81047670
0.19550000  1.94257091  1.94257035  9.80950780  9.80950664
